,cik_No1,cik_No2
1316,1078246,1334199
1317,1078246,1360798
1318,1078246,1364742
1319,1078246,1373442
1320,1078246,1374170
1321,1078246,1376113
1322,1078246,1388409
1323,1078246,1394866
1324,1078246,1399794
1325,1078246,1411530
1326,1078246,1415996
1327,1078246,1418329
1328,1078246,1447946
1329,1078246,1454759
1330,1078246,1463559
1331,1078246,1508097
1332,1078246,1509974
1333,1078246,1510668
1334,1078246,1535811
1335,1078246,1539994
1336,1078246,1541897
1337,1078246,1548916
1338,1078246,1582202
1339,1078246,1595509
1340,1078246,1599950
1341,1078246,1603001
1342,1078246,1609674
1343,1078246,1615135
1344,1078246,1633343
1345,1078246,1664713
1346,1078246,1666736
1347,1078246,1672067
1348,1078246,1686444
1349,1078246,1695426
1350,1078246,1697300
1351,1078246,1698006
1352,1078246,1698219
1353,1078246,1714590
1354,1078246,1715635
1355,1078246,1722329
1356,1078246,1722638
1357,1078246,1723925
1358,1078246,1728718
1359,1078246,1734493
1360,1078246,1764059
1361,1078246,1764403
1362,1078246,1767602
1363,1078246,1768095
1364,1078246,1772940
1365,1078246,1794153
1366,1078246,1794820
1367,1078246,1798736
1368,1078246,1799957
1369,1078246,1800620
1370,1078246,1801585
1371,1078246,1802080
1372,1078246,1802225
1373,1078246,1802277
1374,1078246,1803295
1375,1078246,1803898
1376,1078246,1817646
1377,1078246,1817652
1378,1078246,1825611
1379,1078246,1832158
1380,1078246,1832439
1381,1078246,1840750
1382,1078246,1841757
1383,1078246,1844568
1384,1078246,1852993
1385,1080107,5272
1386,1080107,16972
1387,1080107,35527
1388,1080107,356264
1389,1080107,712050
1390,1080107,713676
1391,1080107,732905
1392,1080107,733986
1393,1080107,773411
1394,1080107,775368
1395,1080107,857508
1396,1080107,859139
1397,1080107,914933
1398,1080107,944804
1399,1080107,1002672
1400,1080107,1008322
1401,1080107,1056527
1402,1080107,1078246
1403,1080107,1080107
1404,1080107,1082621
1405,1080107,1091961
1406,1080107,1105837
1407,1080107,1119032
1408,1080107,1130787
1409,1080107,1140771
1410,1080107,1166588
1411,1080107,1271347
1412,1080107,1285973
1413,1080107,1297376
1414,1080107,1334199
1415,1080107,1360798
1416,1080107,1364742
1417,1080107,1373442
1418,1080107,1374170
1419,1080107,1376113
1420,1080107,1388409
1421,1080107,1394866
1422,1080107,1399794
1423,1080107,1411530
1424,1080107,1415996
1425,1080107,1418329
1426,1080107,1447946
1427,1080107,1454759
1428,1080107,1463559
1429,1080107,1508097
1430,1080107,1509974
1431,1080107,1510668
1432,1080107,1535811
1433,1080107,1539994
1434,1080107,1541897
1435,1080107,1547926
1436,1080107,1548916
1437,1080107,1582202
1438,1080107,1595509
1439,1080107,1599950
1440,1080107,1603001
